,Image,F1,Jaccard,Recall,Precision
128,1246.png,0.8943089430894309,0.8088235294117647,1.0,0.8088235294117647
129,1580.png,0.6474464579901154,0.47868453105968334,0.49558638083228246,0.9334916864608076
130,682.png,0.9719487274753855,0.9454282616552223,0.9838285069575028,0.960352422907489
131,735.png,0.6594504579517069,0.4919254658385093,0.4919254658385093,1.0
132,2248.png,0.7590443686006826,0.6116611661166117,0.6595492289442467,0.8938906752411575
133,1404.png,0.9097472924187726,0.8344370860927153,0.8689655172413793,0.9545454545454546
134,1373.png,0.9239940387481371,0.8587257617728532,0.9967845659163987,0.8611111111111112
135,1883.png,0.10173697270471464,0.05359477124183006,0.05359477124183006,1.0
136,655.png,0.9580838323353293,0.9195402298850575,0.9566517189835575,0.95952023988006
137,1990.png,0.9207579672695951,0.8531524341580208,0.9324029655473179,0.9094002552105487
138,501.png,0.9200293470286134,0.8519021739130435,0.9889589905362776,0.8600823045267489
139,2306.png,0.7628865979381443,0.6166666666666667,0.6211678832116788,0.9883855981416957
140,2974.png,0.7953795379537953,0.6602739726027397,0.9198473282442748,0.7005813953488372
141,2367.png,0.5706385118149824,0.39922616953921913,0.4178939617083947,0.8993660855784469
142,2923.png,0.8702765874561745,0.7703448275862069,0.9973214285714286,0.7719419488597098
143,1599.png,0.39553072625698327,0.24651810584958217,0.6807692307692308,0.27874015748031494
144,1297.png,0.9228007181328546,0.8566666666666667,0.8816466552315609,0.967984934086629
145,650.png,0.9878506737353656,0.9759930161501528,0.9928952042628775,0.9828571428571429
146,624.png,0.9401120206807411,0.8869918699186992,0.9586994727592267,0.9222316145393068
147,183.png,0.9546703296703297,0.9132720105124835,0.976123595505618,0.9341397849462365
148,3005.png,0.7428909952606635,0.590951932139491,0.993660855784469,0.5931882686849574
149,2056.png,0.39229671897289586,0.2440106477373558,0.24531668153434433,0.9786476868327402
150,200.png,0.8275862068965517,0.7058823529411765,1.0,0.7058823529411765
151,481.png,0.9220708446866485,0.8554095045500506,0.9894736842105263,0.863265306122449
152,2327.png,0.9555867227676484,0.9149507609668756,0.9779904306220095,0.9341864716636198
153,1248.png,0.9688947716743879,0.9396662387676509,0.9851951547779273,0.953125
154,229.png,0.9158453373768006,0.8447552447552448,0.9648562300319489,0.8715728715728716
155,1300.png,0.8413793103448276,0.7261904761904762,0.8243243243243243,0.8591549295774648
156,1471.png,0.2901849217638691,0.16971713810316139,0.9807692307692307,0.17028380634390652
157,582.png,0.9772809231878832,0.9555712270803949,0.9926739926739927,0.9623579545454546
158,1094.png,0.7130124777183601,0.554016620498615,0.5714285714285714,0.9478672985781991
159,2504.png,0.8986568986568987,0.8159645232815964,0.863849765258216,0.9363867684478372
160,2145.png,0.0,0.0,0.0,0.0
161,2878.png,0.8930362116991644,0.8067438349270256,0.8836824696802646,0.9025900900900901
162,2106.png,0.0,0.0,0.0,0.0
163,2229.png,0.0,0.0,0.0,0.0
164,2865.png,0.6610169491525424,0.4936708860759494,0.8432432432432433,0.5435540069686411
165,1506.png,0.9206598586017282,0.8529839883551674,0.9932203389830508,0.8579795021961932
166,1052.png,0.9284286285485805,0.8664179104477612,0.8755656108597285,0.9880851063829788
167,2729.png,0.9535181236673774,0.9111654441727791,0.9197860962566845,0.9898185037627268
168,2050.png,0.5724675324675325,0.40101892285298396,0.9769503546099291,0.4048493754592212
169,398.png,0.960776989166978,0.9245147375988497,0.9831804281345565,0.9393718042366691
170,2434.png,0.0,0.0,0.0,0.0
171,2168.png,0.9259259259259259,0.8620689655172413,0.9259259259259259,0.9259259259259259
172,2613.png,0.0,0.0,0.0,0.0
173,2687.png,0.0,0.0,0.0,0.0
174,2619.png,0.3404255319148936,0.20512820512820512,0.20512820512820512,1.0
175,1998.png,0.9151047409040793,0.8434959349593496,0.9606481481481481,0.8736842105263158
176,2822.png,0.8854166666666666,0.794392523364486,0.9631728045325779,0.8192771084337349
177,2908.png,0.39372325249643364,0.24511545293072823,0.31257078142695355,0.5317919075144508
178,2942.png,0.9438639125151883,0.8936953520478601,0.9243217515468825,0.9642502482621649
179,2576.png,0.8746108123407869,0.7771629778672032,0.7882653061224489,0.9821996185632549
